source_id,title,author_or_org,type,url,publish_date,accessed_utc,credibility_note,topic_id,tags
DAG-001,Excel Recalculation,Microsoft Learn,docs,https://learn.microsoft.com/en-us/office/client-developer/excel/excel-recalculation,,2026-03-05T18:19:23Z,Official recalculation model baseline,R-TOPIC-010,spreadsheet|recalc|dependency
DAG-002,A Spreadsheet Core Implementation in C#,Peter Sestoft,technical_report,https://en.itu.dk/Research/Technical-Reports/Technical-Reports-Archive/2006/TR-2006-91/,,2026-03-05T18:19:23Z,Direct spreadsheet engine theory/implementation source,R-TOPIC-010,spreadsheet|corecalc|implementation
DAG-003,Spreadsheet Technology,Peter Sestoft,technical_report,https://en.itu.dk/Research/Technical-Reports/Technical-Reports-Archive/2011/TR-2011-142/,,2026-03-05T18:19:23Z,Spreadsheet semantics and function model context,R-TOPIC-010,spreadsheet|semantics
DAG-004,HyperFormula Dependency Graph docs,Handsontable,docs,https://hyperformula.handsontable.com/guide/dependency-graph.html,,2026-03-05T18:19:23Z,Modern open-source spreadsheet dependency architecture,R-TOPIC-010,spreadsheet|dependency_graph
DAG-005,Build systems à la carte,Andrey Mokhov et al.,paper,https://www.microsoft.com/en-us/research/publication/build-systems-la-carte/,,2026-03-05T18:19:23Z,Canonical DAG build/recompute taxonomy,R-TOPIC-010,build_systems|incremental
DAG-006,Build systems original PDF,Andrey Mokhov et al.,paper_pdf,https://simon.peytonjones.org/assets/pdfs/build-systems-original.pdf,,2026-03-05T18:19:23Z,Primary paper PDF for detailed model,R-TOPIC-010,build_systems|paper
DAG-007,A Consistent Semantics of Self-Adjusting Computation,Umut A. Acar et al.,paper,https://arxiv.org/abs/1106.0478,,2026-03-05T18:19:23Z,Foundational semantics for self-adjusting computation,R-TOPIC-010,self_adjusting|semantics
DAG-008,A Cost Semantics for Self-Adjusting Computation,Umut A. Acar et al.,paper_pdf,https://ttic.uchicago.edu/~pl/sa-sml/popl09.pdf,,2026-03-05T18:19:23Z,Complexity/cost model for incremental updates,R-TOPIC-010,self_adjusting|cost
DAG-009,Self-Adjusting Stack Machines,Matthew A. Hammer et al.,paper,https://arxiv.org/abs/1108.3265,,2026-03-05T18:19:23Z,Low-level machine semantics for self-adjusting updates,R-TOPIC-010,self_adjusting|machine_model
DAG-010,miniAdapton: composable demand-driven incremental computation,Matthew A. Hammer et al.,paper,https://arxiv.org/abs/1609.05337,,2026-03-05T18:19:23Z,Demand-driven incrementalization with memoization and change propagation,R-TOPIC-010,adapton|demand_driven
DAG-011,Incremental λ-Calculus project,Incremental Lambda Calculus project,project_page,https://inc-lc.github.io/,,2026-03-05T18:19:23Z,Primary project anchor for incremental lambda-calculus line,R-TOPIC-010,lambda|incrementalization
DAG-012,A Theory of Changes for Higher-Order Languages,Cai/Giarrusso/Rendel/Ostermann,paper,https://arxiv.org/abs/1312.0658,,2026-03-05T18:19:23Z,Static differentiation for incrementalization,R-TOPIC-010,lambda|theory_of_changes
DAG-013,DBToaster: Higher-order Delta Processing for Dynamic Frequently Fresh Views,Ahmad et al.,paper,https://arxiv.org/abs/1207.0137,,2026-03-05T18:19:23Z,Higher-order IVM and delta recursion,R-TOPIC-010,ivm|delta
DAG-014,DBToaster PVLDB paper PDF,Ahmad et al.,paper_pdf,https://www.vldb.org/pvldb/vol5/p968_yanifahmad_vldb2012.pdf,,2026-03-05T18:19:23Z,Primary PDF for HO-delta details,R-TOPIC-010,ivm|pvlbd
DAG-015,Differential Dataflow,McSherry et al.,paper,https://www.microsoft.com/en-us/research/publication/differential-dataflow/,,2026-03-05T18:19:23Z,Foundational differential computation model,R-TOPIC-010,differential_dataflow|theory
DAG-016,Differential Dataflow CIDR PDF,McSherry et al.,paper_pdf,https://www.cidrdb.org/cidr2013/Papers/CIDR13_Paper111.pdf,,2026-03-05T18:19:23Z,Primary paper PDF and algorithm details,R-TOPIC-010,differential_dataflow|cidr
DAG-017,Naiad: A Timely Dataflow System,Murray et al.,paper_pdf,https://sigops.org/s/conferences/sosp/2013/papers/p439-murray.pdf,,2026-03-05T18:19:23Z,Timely dataflow timestamps/progress model,R-TOPIC-010,timely_dataflow|sosp
DAG-018,Timely dataflow Rust implementation,TimelyDataflow,repo,https://github.com/TimelyDataflow/timely-dataflow,,2026-03-05T18:19:23Z,Reference implementation for timely model,R-TOPIC-010,timely_dataflow|rust
DAG-019,Differential dataflow Rust implementation,DifferentialDataflow,repo,https://github.com/TimelyDataflow/differential-dataflow,,2026-03-05T18:19:23Z,Reference implementation for differential model,R-TOPIC-010,differential_dataflow|rust
DAG-020,A lattice-theoretical fixpoint theorem and its applications,Alfred Tarski,paper_pdf,https://projecteuclid.org/journals/pacific-journal-of-mathematics/volume-5/issue-2/A-lattice-theoretical-fixpoint-theorem-and-its-applications/pjm/1103044538.pdf,1955,2026-03-05T18:19:23Z,Canonical fixed-point theorem for monotone operators,R-TOPIC-010,math|fixed_point|lattice
DAG-021,A New Approach to Incremental Cycle Detection and Related Problems,Bender/Fineman/Gilbert/Tarjan,paper,https://arxiv.org/abs/1112.0784,,2026-03-05T18:19:23Z,Dynamic topo order/cycle detection with bounds,R-TOPIC-010,dynamic_graphs|topological_order
DAG-022,A Labeling Approach to Incremental Cycle Detection,Cohen/Fiat/Kaplan/Roditty,paper,https://arxiv.org/abs/1310.8381,,2026-03-05T18:19:23Z,Alternative dynamic cycle detection technique,R-TOPIC-010,dynamic_graphs|cycle_detection
DAG-023,Depth-First Search and Linear Graph Algorithms,Tarjan,paper_doi,https://doi.org/10.1137/0201010,1972,2026-03-05T18:19:23Z,Classical SCC/topological analysis foundation,R-TOPIC-010,graph_theory|scc
DAG-024,Topological sorting of large networks,Arthur B. Kahn,paper_doi,https://doi.org/10.1145/368996.369025,1962,2026-03-05T18:19:23Z,Classical topological ordering algorithm,R-TOPIC-010,graph_theory|toposort
DAG-025,Scheduling Multithreaded Computations by Work Stealing,Blumofe/Leiserson,paper_doi,https://doi.org/10.1145/324133.324234,1999,2026-03-05T18:19:23Z,Parallel DAG scheduling theoretical basis,R-TOPIC-010,parallel|work_stealing
DAG-026,Provenance Semirings,Green/Karvounarakis/Tannen,paper,https://arxiv.org/abs/0904.4562,,2026-03-05T18:19:23Z,Algebraic provenance and semiring reasoning,R-TOPIC-010,algebra|semiring|provenance
DAG-027,Incremental, Iterative Data Processing with Timely Dataflow,CACM,paper,https://cacm.acm.org/research/incremental-iterative-data-processing-with-timely-dataflow/,,2026-03-05T18:19:23Z,Accessible synthesis of timely model concepts,R-TOPIC-010,timely_dataflow|survey
DAG-028,Jane Street Incremental repository,Jane Street,repo,https://github.com/janestreet/incremental,,2026-03-05T18:19:23Z,Production-grade incremental DAG runtime reference,R-TOPIC-010,incremental|runtime
DAG-029,Incremental deep-dive local notes,Foundation research run,local_analysis,research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal/inputs/incremental_deep_dive_notes.md,,2026-03-05T18:19:23Z,Local source-level extraction and invariant notes,R-TOPIC-010,incremental|local_notes
DAG-030,Open Specifications index (Office standards),Microsoft Learn Open Specifications,spec_index,https://learn.microsoft.com/en-us/openspecs/office_standards/ms-offstandlp/d5784a8b-7070-466b-befa-b7bf3724c6f0,,2026-03-05T18:19:23Z,Spec anchor for workbook dependency and calc-chain format context,R-TOPIC-010,ooxml|spec
