suggestion_id,source_file,target_doc,target_section,action,rationale,change_ref,owner,status
CDS001,inputs/design_brief.md,CORE_ENGINE_FORMAL_MODEL.md,6.2;6.3;6.4,defer,Deferred until additional topic intake is complete and coupled decision set can be promoted together,(pending intake),@govert/Codex,proposed
CDS002,outputs/01_gap_map.md,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md,5.4;6.3;6.5;5,defer,Deferred until spill-lifecycle and dynamic-overlay decisions are finalized with new incoming topics,(pending intake),@govert/Codex,proposed
CDS003,reference/conformance/excel-worksheet-engine/model/FEC_F3E_INTERFACE_DRAFT_SPEC.md,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md,5.4;6.4;3.18,defer,Deferred pending broader FEC/F3E protocol consolidation after additional intake topics arrive,(pending intake),@govert/Codex,proposed
CDS004,outputs/01_gap_map.md,CORE_ENGINE_FORMAL_MODEL.md,5.4;6.6,defer,Deferred pending completion of overlay/visibility scheduling policy bundle,(pending intake),@govert/Codex,proposed
CDS005,outputs/01_gap_map.md,ARCHITECTURE_AND_REQUIREMENTS.md;CORE_ENGINE_FORMAL_MODEL.md,3.3;4(CONSTR-008);5.3;6.4,defer,Deferred until async visibility and concurrency policy is finalized with related decisions,(pending intake),@govert/Codex,proposed
CDS006,research/runs/20260305-201430-dag-computation-theory-deep-research-pass-01/outputs/10_conformance_and_proof_obligations.md,OPERATIONS.md;notes/RESEARCH_NOTES.md,4;8;topic sections,defer,Deferred until final synthesis pass when all topic additions are frozen,(pending intake),@govert/Codex,proposed
CDS007,inputs/design_brief.md,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md,5.4;6.3;6.4;3.18,accept,Formatting-sensitive dependency behavior is documented as a stable synthesis entry with bounded provisional clauses for CF-effective-style observability,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/03_stable_topic_entries.md:1,@govert/Codex,applied
CDS008,inputs/design_brief.md,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md,5.4;6.4;3.3;3.10,accept,Visibility-state and optional visible-first scheduling are documented with deterministic and semantic-equivalence invariants,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/03_stable_topic_entries.md:1,@govert/Codex,applied
CDS009,../DnaVisiCalc/docs/ENGINE_FEC_F3E_REDESIGN_SPEC.md,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md;OPERATIONS.md,3.18;5.4;6.4;4;8,accept,Cross-repo redesign is accepted as synthesis input with conditional-go gate and explicit blocker list captured for later doc-promotion,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/05_fec_f3e_redesign_review.md:1,@govert/Codex,applied
CDS010,../DnaVisiCalc/docs/ENGINE_FEC_F3E_FOUNDATION_UPDATED_SPEC_POINTERS_PROMPT.md,CORE_ENGINE_FORMAL_MODEL.md;ARCHITECTURE_AND_REQUIREMENTS.md;OPERATIONS.md,3.18;5.4;6.4;4;8,accept,Post-review b4 pointer bundle is accepted as canonical synthesis intake and frozen into the run source set,synthesis/runs/20260307-223304-core-engine-dag-fec-synthesis-pass-01/outputs/06_fec_f3e_b4_pointer_intake.md:1,@govert/Codex,applied
