"source_ref_id","source_kind","upstream_registry","upstream_id","title","path_or_url","status","notes"
"ECS-001","spec_web","research_source_list","ECS-001","Excel functions (alphabetical)","https://support.microsoft.com/en-us/office/excel-functions-alphabetical-b3944572-255d-4efb-bb96-c6d90033e188","active","Canonical function inventory anchor."
"ECS-002","spec_web","research_source_list","ECS-002","Excel functions (by category)","https://support.microsoft.com/en-us/office/excel-functions-by-category-5f91f4e9-7b42-46d2-9bd1-63f26a86c0eb","active","Canonical category anchor."
"ECS-003","spec_web","research_source_list","ECS-003","Calculation operators and precedence","https://support.microsoft.com/en-us/office/calculation-operators-and-precedence-in-excel-48be406d-4975-4d31-b2b8-7af9e0e2878a","active","Operator and precedence baseline."
"ECS-004","spec_web","research_source_list","ECS-004","Implicit intersection operator @","https://support.microsoft.com/en-gb/office/implicit-intersection-operator-ce3be07b-0101-4450-a24e-c1c999be2b34","active","Dynamic-array migration behavior."
"ECS-005","spec_web","research_source_list","ECS-005","Spilled range operator #","https://support.microsoft.com/en-us/office/spilled-range-operator-3dd5899f-bca2-4b9d-a172-3eae9ac22efd","active","Spill reference operator behavior."
"ECS-006","spec_web","research_source_list","ECS-006","Dynamic array formulas and spill behavior","https://support.microsoft.com/en-us/office/dynamic-array-formulas-and-spilled-array-behavior-205c6b06-03ba-4151-89a1-87a7eb36e531","active","Core spill behavior guide."
"ECS-007","spec_web","research_source_list","ECS-007","Functions that return arrays/ranges","https://support.microsoft.com/en-us/office/excel-functions-that-return-ranges-or-arrays-7d1970e2-cbaa-4279-b59c-b9dd3900fc69","active","Dynamic-array transition guide."
"ECS-008","spec_web","research_source_list","ECS-008","MS-XLSX formulas ABNF","https://learn.microsoft.com/en-us/openspecs/office_standards/ms-xlsx/3d025add-118d-4413-9856-ab65712ec1b0","active","Formal grammar anchor."
"ECS-009","spec_web","research_source_list","ECS-009","MS-XLSX cell formulas","https://learn.microsoft.com/en-us/openspecs/office_standards/ms-xlsx/bb813b21-5c61-41e8-b91c-3ebb4550666c","active","Cell formula constraints."
"ECS-010","spec_web","research_source_list","ECS-010","Define and use names","https://support.microsoft.com/en-us/office/define-and-use-names-in-formulas-4d0f13ac-53b7-422e-afd2-abd7ff379c64","active","Names baseline."
"ECS-011","spec_web","research_source_list","ECS-011","Names in formulas","https://support.microsoft.com/en-us/office/names-in-formulas-fc2935f9-115d-4bef-a370-3aa8bb4c91f1","active","Name syntax/scope details."
"ECS-012","spec_web","research_source_list","ECS-012","Structured references","https://support.microsoft.com/en-us/office/using-structured-references-with-excel-tables-f5ed2452-2337-4f71-bed3-c8ae6d2b276e","active","Table structured-reference semantics."
"ECS-013","spec_web","research_source_list","ECS-013","Calculated columns (desktop)","https://support.microsoft.com/en-au/office/use-calculated-columns-in-an-excel-table-873fbac6-7110-4300-8f6f-aafa2ea11ce8","active","Auto-fill and expansion behavior."
"ECS-014","spec_web","research_source_list","ECS-014","Calculated columns (web)","https://support.microsoft.com/en-us/office/use-calculated-columns-in-a-table-in-excel-for-the-web-f048e0fe-120f-4717-9f07-50a0b1410263","active","Web behavior caveat source."
"ECS-017","spec_web","research_source_list","ECS-017","IS functions","https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665","active","Type predicate baseline."
"ECS-018","spec_web","research_source_list","ECS-018","N function","https://support.microsoft.com/en-au/office/n-function-a624cad1-3635-4208-b54a-29733d1278c9","active","Type conversion baseline."
"ECS-019","spec_web","research_source_list","ECS-019","VALUE function","https://support.microsoft.com/en-us/office/value-function-257d0108-07dc-437d-ae1c-bc2d3953d8c2","active","Text-to-number conversion baseline."
"ECS-020","spec_web","research_source_list","ECS-020","VALUETOTEXT function","https://support.microsoft.com/en-au/office/valuetotext-function-5fff61a2-301a-4ab2-9ffa-0a5242a08fea","active","Value-to-text conversion baseline."
"ECS-021","spec_web","research_source_list","ECS-021","Excel data types stocks and geography","https://support.microsoft.com/office/excel-data-types-stocks-and-geography-61a33056-9935-484f-8ac8-f1a89e210877","active","Linked data type baseline."
"ECS-024","spec_web","research_source_list","ECS-024","Formulas referencing data types","https://support.microsoft.com/en-au/office/how-to-write-formulas-that-reference-data-types-295d95e2-1e8a-4337-bfa9-0582b815c0b4","active","Dot-field formula guidance."
"ECS-025","spec_web","research_source_list","ECS-025","FIELDVALUE function","https://support.microsoft.com/en-au/office/fieldvalue-function-4a579c45-7326-4168-b556-df8b5685175b","active","Field extraction baseline."
"ECS-026","spec_web","research_source_list","ECS-026","Custom number format guidelines","https://support.microsoft.com/en-us/office/review-guidelines-for-customizing-a-number-format-c0a1d1fa-d3f4-4018-96b7-9c9354dd99f5","active","Number format grammar baseline."
"ECS-027","spec_web","research_source_list","ECS-027","Create custom number format","https://support.microsoft.com/en-us/office/create-a-custom-number-format-78f2a361-936b-4c03-8772-09fab54be7f4","active","Number format examples."
"ECS-028","spec_web","research_source_list","ECS-028","Conditional formatting user model","https://support.microsoft.com/en-us/office/use-conditional-formatting-to-highlight-information-fed60dfa-1d3f-4e13-9ecb-f1951ff89d7f","active","Conditional formatting baseline."
"ECS-029","spec_web","research_source_list","ECS-029","Conditional formulas","https://support.microsoft.com/en-us/office/create-conditional-formulas-ca916c57-abd8-4b44-997c-c309b7307831","active","Formula-based CF rules."
