"scenario_id","task_id","priority","domain","fixture","scenario_file","status","notes"
"SCN-EB028-REF-RANGE-ACCEPT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-REF-RANGE-ACCEPT.xlsx","scenarios/SCN-EB028-REF-RANGE-ACCEPT.json","completed","FPCW1-001|parse_acceptance|expected=accepted"
"SCN-EB028-REF-UNION-ACCEPT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-REF-UNION-ACCEPT.xlsx","scenarios/SCN-EB028-REF-UNION-ACCEPT.json","completed","FPCW1-002|parse_acceptance|expected=accepted"
"SCN-EB028-REF-INTERSECTION-ACCEPT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-REF-INTERSECTION-ACCEPT.xlsx","scenarios/SCN-EB028-REF-INTERSECTION-ACCEPT.json","completed","FPCW1-003|parse_acceptance|expected=accepted"
"SCN-EB028-REF-DOUBLECOLON-REJECT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-REF-DOUBLECOLON-REJECT.xlsx","scenarios/SCN-EB028-REF-DOUBLECOLON-REJECT.json","completed","FPCW1-004|parse_acceptance|expected=rejected"
"SCN-EB028-AT-OP-ACCEPT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-AT-OP-ACCEPT.xlsx","scenarios/SCN-EB028-AT-OP-ACCEPT.json","completed","FPCW1-005|parse_acceptance|expected=accepted"
"SCN-EB028-HASH-OP-ACCEPT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-HASH-OP-ACCEPT.xlsx","scenarios/SCN-EB028-HASH-OP-ACCEPT.json","completed","FPCW1-006|parse_acceptance|expected=accepted"
"SCN-EB028-AT-HASH-ACCEPT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-AT-HASH-ACCEPT.xlsx","scenarios/SCN-EB028-AT-HASH-ACCEPT.json","completed","FPCW1-007|parse_acceptance|expected=accepted"
"SCN-EB028-HASH-PREFIX-REJECT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-HASH-PREFIX-REJECT.xlsx","scenarios/SCN-EB028-HASH-PREFIX-REJECT.json","completed","FPCW1-008|parse_acceptance|expected=rejected"
"SCN-EB028-LET-ACCEPT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-LET-ACCEPT.xlsx","scenarios/SCN-EB028-LET-ACCEPT.json","completed","FPCW1-009|parse_acceptance|expected=accepted"
"SCN-EB028-LAMBDA-INVOKE-ACCEPT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-LAMBDA-INVOKE-ACCEPT.xlsx","scenarios/SCN-EB028-LAMBDA-INVOKE-ACCEPT.json","completed","FPCW1-010|parse_acceptance|expected=accepted"
"SCN-EB028-LAMBDA-MISSINGPAREN-REJECT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-LAMBDA-MISSINGPAREN-REJECT.xlsx","scenarios/SCN-EB028-LAMBDA-MISSINGPAREN-REJECT.json","completed","FPCW1-011|parse_acceptance|expected=rejected"
"SCN-EB028-FIELDVALUE-ACCEPT","ECS-EB-028","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB028-FIELDVALUE-ACCEPT.xlsx","scenarios/SCN-EB028-FIELDVALUE-ACCEPT.json","completed","FPCW1-012|parse_acceptance|expected=accepted"
"SCN-EB030-DOTFIELD-PROBE","ECS-EB-030","P1","formula_parse","research/runs/20260228-180047-excel-compat-empirical-pass-01/fixtures/formula_parse_wave1/SCN-EB030-DOTFIELD-PROBE.xlsx","scenarios/SCN-EB030-DOTFIELD-PROBE.json","completed","FPCW1-013|ambiguity|expected=probe"
