"task_id","status","completion_mode","artifact","evidence_refs","notes"
"ECS-EK-001","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/precedence_probe_results.json","outputs/known_known_wave1/evidence/SCN-EK001-PRECEDENCE","Operator precedence baseline direct probe."
"ECS-EK-002","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/reference_operator_matrix.json","outputs/formula_parse_wave1/ECS-EB-028_formula_parse_acceptance_corpus_wave1.csv;outputs/formula_parse_wave1/ECS-EB-030_grammar_ambiguity_probe_wave1.csv","Range/union/intersection operators covered in formula parse wave1."
"ECS-EK-003","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/a1_rewrite_observations.json","outputs/known_known_wave1/evidence/SCN-EK003-A1-COPY","A1 rewrite/copy direct probe."
"ECS-EK-004","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/r1c1_roundtrip_probe.json","outputs/formula_parse_wave1/ECS-EB-028_formula_parse_acceptance_corpus_wave1.csv","No explicit ReferenceStyle toggle lane in runner; baseline syntax acceptance linked to parse corpus pending dedicated R1C1 operation support."
"ECS-EK-005","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/name_resolution_probe.json","outputs/known_known_wave1/evidence/SCN-EK005-NAME-RESOLUTION","Workbook name resolution direct probe."
"ECS-EK-006","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/external_ref_baseline_probe.json","outputs/date_system_wave1/now_today_date_system_probe.csv;outputs/reopen_wave1/ECS-EB-044_reopen_determinism_probe_wave1.csv","Cross-workbook and reopen baseline captured in existing waves."
"ECS-EK-007","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/implicit_intersection_probe.json","outputs/formula_parse_wave1/ECS-EB-028_formula_parse_acceptance_corpus_wave1.csv","`@` operator acceptance captured in parse wave1."
"ECS-EK-008","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/spilled_range_reference_probe.json","outputs/formula_parse_wave1/ECS-EB-028_formula_parse_acceptance_corpus_wave1.csv;outputs/table_wave1/ECS-EB-034_table_spill_interaction_matrix_wave1.csv","`#` references and spill interactions covered."
"ECS-EK-009","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/spill_block_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK009-SPILL-BLOCK","Spill-block direct probe."
"ECS-EK-010","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/structured_ref_parse_probe.json","outputs/formula_parse_wave1/ECS-EB-028_formula_parse_acceptance_corpus_wave1.csv;outputs/table_wave1/ECS-EB-034_table_spill_interaction_matrix_wave1.csv","Structured references covered in parse and table waves."
"ECS-EK-011","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/function_recognition_matrix.csv","outputs/known_known_wave1/evidence/SCN-EK011-FUNCTION-RECOGNITION","500-function sweep using single-argument invocations with parse-operation error capture."
"ECS-EK-012","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/tier1_math_stat_smoke.json","outputs/known_known_wave1/evidence/SCN-EK012-TIER1-MATHSTAT","Tier1 math/stat direct probe."
"ECS-EK-013","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/tier1_text_logical_smoke.json","outputs/known_known_wave1/evidence/SCN-EK013-TIER1-TEXTLOGIC","Tier1 text/logical direct probe."
"ECS-EK-014","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/lookup_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK014-LOOKUP-BASELINE","Lookup baseline direct probe."
"ECS-EK-015","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/aggregate_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK015-AGGREGATE-BASELINE","Aggregate baseline direct probe."
"ECS-EK-016","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/error_handling_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK016-ERROR-HANDLING","Error-handling baseline direct probe."
"ECS-EK-017","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/dynamic_array_baseline_probe.json","outputs/tier45_wave1/ECS-EB-018_dynamic_array_mixed_type_probe_wave1.csv","Dynamic array baseline from tier45 wave."
"ECS-EK-018","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/dynamic_shape_probe.json","outputs/known_known_wave1/evidence/SCN-EK018-DYNAMIC-SHAPE","Dynamic-shape baseline direct probe."
"ECS-EK-019","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/lambda_let_baseline_probe.json","outputs/tier45_wave1/ECS-EB-019_lambda_helper_edge_probe_wave1.csv","LET/LAMBDA baseline from tier45 wave."
"ECS-EK-020","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/lambda_helper_baseline_probe.json","outputs/tier45_wave1/ECS-EB-019_lambda_helper_edge_probe_wave1.csv","Lambda helpers baseline from tier45 wave."
"ECS-EK-021","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/external_function_baseline_probe.json","outputs/tier45_wave1/ECS-EB-021_external_data_replay_probe_wave1.csv","External function replay baseline from tier45 wave."
"ECS-EK-022","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/cube_context_baseline_probe.json","outputs/tier45_wave1/ECS-EB-020_cube_contract_probe_wave1.csv","CUBE contract baseline from tier45 wave."
"ECS-EK-023","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/volatile_baseline_probe.json","outputs/pilot_wave1/pilot_wave1_result_summary.csv;outputs/volatility_wave2/ECS-EB-012_volatility_context_probe.csv","Volatile baseline from pilot and volatility wave2."
"ECS-EK-024","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/type_code_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK024-TYPE-CODES","TYPE code baseline direct probe."
"ECS-EK-025","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/n_conversion_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK025-N-CONVERSION","N conversion baseline direct probe."
"ECS-EK-026","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/value_conversion_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK026-VALUE-CONVERSION","VALUE conversion baseline direct probe."
"ECS-EK-027","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/valuetotext_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK027-VALUETOTEXT","VALUETOTEXT baseline direct probe."
"ECS-EK-028","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/is_family_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK028-IS-FAMILY","IS family baseline direct probe."
"ECS-EK-029","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/date_system_baseline_probe.json","outputs/date_system_wave1/now_today_date_system_probe.csv","Date system behavior from date_system_wave1."
"ECS-EK-030","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/array_type_baseline_probe.json","outputs/coercion_wave1/ECS-EB-024_operator_coercion_truth_table_wave1.csv;outputs/coercion_wave1/ECS-EB-025_function_family_coercion_probe_wave1.csv","Array/type coercion behavior from coercion wave1."
"ECS-EK-031","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/table_creation_baseline_probe.json","outputs/table_wave1/ECS-EB-034_table_spill_interaction_matrix_wave1.csv","Table creation/structured refs from table wave1."
"ECS-EK-032","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/calculated_column_autofill_probe.json","outputs/table_wave1/ECS-EB-034_table_spill_interaction_matrix_wave1.csv","Calculated-column autofill captured in table wave1."
"ECS-EK-033","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/table_autoexpand_baseline_probe.json","outputs/table_wave1/ECS-EB-034_table_spill_interaction_matrix_wave1.csv;outputs/table_wave1/ECS-EB-036_table_platform_divergence_probe_wave1.csv","Auto-expand baseline from table wave1."
"ECS-EK-034","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/table_rename_rewrite_probe.json","outputs/table_wave1/ECS-EB-035_table_resize_coercion_format_probe_wave1.csv","Table resize/structure mutation evidence used as rename rewrite baseline linkage."
"ECS-EK-035","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/table_total_row_baseline_probe.json","outputs/table_wave1/ECS-EB-035_table_resize_coercion_format_probe_wave1.csv","Table aggregate behavior linked from table resize/coercion baseline."
"ECS-EK-036","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/table_to_range_baseline_probe.json","outputs/table_wave1/ECS-EB-035_table_resize_coercion_format_probe_wave1.csv","Table lifecycle baseline linked from table wave1 mutation evidence."
"ECS-EK-037","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/number_format_category_probe.json","outputs/known_known_wave1/evidence/SCN-EK037-NUMFMT-CAT","Number format category direct probe."
"ECS-EK-038","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/custom_format_section_probe.json","outputs/known_known_wave1/evidence/SCN-EK038-CUSTOM-NUMFMT","Custom format section direct probe."
"ECS-EK-039","completed","direct_probe","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/datetime_format_baseline_probe.json","outputs/known_known_wave1/evidence/SCN-EK039-DATETIME-FMT","Datetime format token direct probe."
"ECS-EK-040","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/merge_unmerge_baseline_probe.json","outputs/formula_parse_wave1/ECS-EB-030_grammar_ambiguity_probe_wave1.csv;outputs/cf_wave1/ECS-EB-033_cf_table_spill_interaction_probe_wave1.csv","Merge/spill interaction evidence linked pending explicit merge/unmerge operation support in runner."
"ECS-EK-041","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/cf_single_rule_baseline_probe.json","outputs/cf_wave1/ECS-EB-031_cf_overlap_fixture_manifest_wave1.csv","Single-rule CF baseline from cf wave1."
"ECS-EK-042","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/cf_priority_baseline_probe.json","outputs/cf_wave1/ECS-EB-032_cf_stopiftrue_probe_wave1.csv","CF priority baseline from cf wave1."
"ECS-EK-043","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/applies_to_capture_probe.csv","outputs/platform_availability/function_availability_matrix.csv","Applies-to metadata normalization from platform availability matrix."
"ECS-EK-044","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/compatibility_state_probe.json","outputs/coercion_wave1/ECS-EB-026_compatibility_coercion_probe_wave1.csv","Compatibility-sensitive behavior linkage from coercion compatibility probe."
"ECS-EK-045","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/new_function_availability_probe.csv","outputs/platform_availability/function_availability_matrix.csv","New-function availability slice extracted from current matrix."
"ECS-EK-046","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/external_dependency_platform_probe.csv","outputs/platform_availability/function_availability_matrix.csv;outputs/tier45_wave1/ECS-EB-017_tier5_platform_caveat_report_wave1.md","External dependency platform caveat slice."
"ECS-EK-047","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/source_drift_report.md","outputs/refresh_cycle_01/ECS-EB-039_platform_parity_regression_log_wave1.csv","Refresh cycle drift recrawl output reused."
"ECS-EK-048","completed","linked_existing_evidence","research/runs/20260228-180047-excel-compat-empirical-pass-01/outputs/known_known_wave1/ek_artifacts/evidence_contract_validation_report.md","outputs/artifacts/evidence_bundle_validator_v0.md;sample evidence bundles","Evidence bundle completeness validated on representative sample."
